

--------------------------------
﻿"PKP Usage statistics report"
"PKP Default usage statistics report (COUNTER ready)"
"Metric: ojs::counter"
"Report URL: https://riviste.unimi.it/index.php/cinemaetcie/stats/reports/generateReport?metricType=ojs::counter&columns[]=assoc_type&columns[]=context_id&columns[]=city&columns[]=country_id&columns[]=month&filters={""assoc_type"":[""256""],""context_id"":96,""month"":""202210""}"

,Type,Journal,City,Country,Month,Count
,"Submission Files","Cinéma & Cie. Film and Media Studies Journal",Abbiategrasso,IT,202210,2
,"Submission Files","Cinéma & Cie. Film and Media Studies Journal",Aberdeen,GB,202210,7
,"Submission Files","Cinéma & Cie. Film and Media Studies Journal","Abu Dhabi",AE,202210,1
,"Submission Files","Cinéma & Cie. Film and Media Studies Journal",Allendale,US,202210,1
,"Submission Files","Cinéma & Cie. Film and Media Studies Journal",Antwerpen,BE,202210,1
,"Submission Files","Cinéma & Cie. Film and Media Studies Journal",Åtvidaberg,SE,202210,1
,"Submission Files","Cinéma & Cie. Film and Media Studies Journal",Bologna,IT,202210,1
,"Submission Files","Cinéma & Cie. Film and Media Studies Journal",Brussels,BE,202210,1
,"Submission Files","Cinéma & Cie. Film and Media Studies Journal",Bucharest,RO,202210,1
,"Submission Files","Cinéma & Cie. Film and Media Studies Journal",Carlentini,IT,202210,1
,"Submission Files","Cinéma & Cie. Film and Media Studies Journal",Chongqing,CN,202210,1
,"Submission Files","Cinéma & Cie. Film and Media Studies Journal",Christchurch,NZ,202210,1
,"Submission Files","Cinéma & Cie. Film and Media Studies Journal",Copenhagen,DK,202210,3
,"Submission Files","Cinéma & Cie. Film and Media Studies Journal",Dallas,US,202210,2
,"Submission Files","Cinéma & Cie. Film and Media Studies Journal",Daventry,GB,202210,2
,"Submission Files","Cinéma & Cie. Film and Media Studies Journal","Den Bosch",NL,202210,1
,"Submission Files","Cinéma & Cie. Film and Media Studies Journal",Fairfield,US,202210,2
,"Submission Files","Cinéma & Cie. Film and Media Studies Journal","Far Rockaway",US,202210,1
,"Submission Files","Cinéma & Cie. Film and Media Studies Journal",Florence,IT,202210,1
,"Submission Files","Cinéma & Cie. Film and Media Studies Journal",Franconville,FR,202210,2
,"Submission Files","Cinéma & Cie. Film and Media Studies Journal",Fremont,US,202210,2
